-14.55, -13.65
-0.8, -13.7
-11.35, -4.75
1.95, -4.5
-10.85, 1.55
7.9, 3.4
-12.45, 8.65
4.65, 12.05
-11.45, 14.35
-19.9, 7.3
-10.0, 4.8
-16.25, 1.4
-9.2, -2.4
-18.1, -4.8
-9.95, -9.75
-18.45, -13.15
-14.15, -19.1
1.25, -19.0
10.9, -11.85
13.6, -2.95
15.75, 7.85
12.45, 16.8
4.0, 20.75
-9.3, 21.5
-17.35, 18.7
-7.65, 16.85
2.05, 16.2
9.7, 12.4
10.75, 7.6
10.1, 2.2
8.75, -1.6
7.4, -5.45
2.15, -6.65
-1.95, -7.55
3.1, -10.3
2.15, -14.35
-3.1, -16.05
-9.6, -16.05
-13.6, -15.65
-14.25, -14.7
